iter	Passed	Remaining
0	0	82
1	1	79
2	2	84
3	3	77
4	3	73
5	4	71
6	5	71
7	6	70
8	6	70
9	7	69
10	8	69
11	9	68
12	10	67
13	10	65
14	11	64
15	12	63
16	12	62
17	13	60
18	14	60
19	14	59
20	15	58
21	16	57
22	16	56
23	17	54
24	17	53
25	18	52
26	18	51
27	19	50
28	20	48
29	20	47
30	21	46
31	21	45
32	21	44
33	22	43
34	22	42
35	23	41
36	23	40
37	24	39
38	24	38
39	25	38
40	25	37
41	26	35
42	26	35
43	27	34
44	27	33
45	27	32
46	28	32
47	28	31
48	29	30
49	29	29
50	30	29
51	30	28
52	31	27
53	31	27
54	32	26
55	32	25
56	33	24
57	33	24
58	34	23
59	34	23
60	34	22
61	35	21
62	35	21
63	36	20
64	36	19
65	37	19
66	37	18
67	38	18
68	38	17
69	39	16
70	39	16
71	40	15
72	40	15
73	41	14
74	41	13
75	42	13
76	43	13
77	44	12
78	45	11
79	45	11
80	46	10
81	46	10
82	47	9
83	48	9
84	48	8
85	49	8
86	50	7
87	50	6
88	51	6
89	52	5
90	52	5
91	53	4
92	53	4
93	54	3
94	54	2
95	55	2
96	55	1
97	56	1
98	56	0
99	57	0
